--agc-startup-min-volume	c1	c2	c4	c5	--alsa-enable-upsampling	c7	c8	c9	c10	c11	c12	--audio-output-channels	c14	c15	c16	c17	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	--data-reduction-proxy-lo-fi
62	--accept-resource-provider		--allow-cross-origin-auth-prompt	--allow-hidden-media-playback	44kHz				--ash-animate-from-boot-splash-screen			7	--auto		--ChromeOSMemoryPressureHandling				--disable-direct-composition-layers		--disable-local-storage				--disable-sync	--enable-accelerated-2d-canvas					--incognito	--is-running-in-mash	--log-net-log	disabled
158		--account-consistency	--allow-cross-origin-auth-prompt	--allow-hidden-media-playback	38kHz			--arc-availability=installed		--ash-enable-magnifier-key-scroller		10		--bwsi		--cloud-print-setup-proxy	--disable-2d-canvas-clip-aa	--disable-backing-store-limit	--disable-direct-composition-layers				--disable-permission-action-reporting	--disable-suggestions-ui		--enable-accelerated-2d-canvas		--fast-start		--force-first-run		--is-running-in-mash		disabled
110	--accept-resource-provider			--allow-hidden-media-playback	32kHz	--alternative			--ash-animate-from-boot-splash-screen			7		--bwsi	--ChromeOSMemoryPressureHandling	--cloud-print-setup-proxy				--disable-hang-monitor					--disable-sync					--force-first-run		--is-running-in-mash		always-on
255			--allow-cross-origin-auth-prompt	--allow-hidden-media-playback	38kHz			--arc-availability=installed		--ash-enable-magnifier-key-scroller	--ash-enable-night-light	1		--bwsi	--ChromeOSMemoryPressureHandling				--disable-direct-composition-layers		--disable-local-storage				--disable-sync	--enable-accelerated-2d-canvas	--enable-cast-receiver	--fast-start	--force-enable-stylus-tools		--incognito	--is-running-in-mash	--log-net-log	cellular-only
110				--allow-hidden-media-playback	46kHz		--app		--ash-animate-from-boot-splash-screen		--ash-enable-night-light	2	--auto	--bwsi					--disable-direct-composition-layers	--disable-hang-monitor	--disable-local-storage	--disable-per-user-timezone	--disable-permission-action-reporting	--disable-suggestions-ui		--enable-accelerated-2d-canvas		--fast-start	--force-enable-stylus-tools				--log-net-log	cellular-only
158	--accept-resource-provider		--allow-cross-origin-auth-prompt	--allow-hidden-media-playback	34kHz			--arc-availability=installed	--ash-animate-from-boot-splash-screen		--ash-enable-night-light	1		--bwsi					--disable-direct-composition-layers	--disable-hang-monitor	--disable-local-storage		--disable-permission-action-reporting		--disable-sync			--fast-start	--force-enable-stylus-tools		--incognito	--is-running-in-mash	--log-net-log	always-on
62	--accept-resource-provider				34kHz			--arc-availability=installed	--ash-animate-from-boot-splash-screen	--ash-enable-magnifier-key-scroller	--ash-enable-night-light	5	--auto	--bwsi	--ChromeOSMemoryPressureHandling		--disable-2d-canvas-clip-aa				--disable-local-storage	--disable-per-user-timezone	--disable-permission-action-reporting	--disable-suggestions-ui	--disable-sync	--enable-accelerated-2d-canvas	--enable-cast-receiver		--force-enable-stylus-tools	--force-first-run	--incognito	--is-running-in-mash		cellular-only
62		--account-consistency	--allow-cross-origin-auth-prompt		46kHz	--alternative	--app	--arc-availability=installed	--ash-animate-from-boot-splash-screen		--ash-enable-night-light	8					--disable-2d-canvas-clip-aa	--disable-backing-store-limit			--disable-local-storage			--disable-suggestions-ui		--enable-accelerated-2d-canvas		--fast-start	--force-enable-stylus-tools	--force-first-run				cellular-only
255	--accept-resource-provider		--allow-cross-origin-auth-prompt		41kHz		--app					5	--auto	--bwsi					--disable-direct-composition-layers	--disable-hang-monitor		--disable-per-user-timezone	--disable-permission-action-reporting		--disable-sync		--enable-cast-receiver				--incognito	--is-running-in-mash		always-on
86	--accept-resource-provider		--allow-cross-origin-auth-prompt	--allow-hidden-media-playback	48kHz		--app		--ash-animate-from-boot-splash-screen		--ash-enable-night-light	6	--auto		--ChromeOSMemoryPressureHandling	--cloud-print-setup-proxy		--disable-backing-store-limit		--disable-hang-monitor			--disable-permission-action-reporting		--disable-sync				--force-enable-stylus-tools	--force-first-run		--is-running-in-mash	--log-net-log	always-on
255		--account-consistency	--allow-cross-origin-auth-prompt		34kHz	--alternative		--arc-availability=installed	--ash-animate-from-boot-splash-screen			2	--auto		--ChromeOSMemoryPressureHandling		--disable-2d-canvas-clip-aa			--disable-hang-monitor	--disable-local-storage	--disable-per-user-timezone	--disable-permission-action-reporting		--disable-sync	--enable-accelerated-2d-canvas		--fast-start			--incognito		--log-net-log	disabled
62	--accept-resource-provider	--account-consistency	--allow-cross-origin-auth-prompt	--allow-hidden-media-playback	41kHz		--app		--ash-animate-from-boot-splash-screen		--ash-enable-night-light	8					--disable-2d-canvas-clip-aa		--disable-direct-composition-layers	--disable-hang-monitor	--disable-local-storage	--disable-per-user-timezone		--disable-suggestions-ui	--disable-sync		--enable-cast-receiver	--fast-start		--force-first-run		--is-running-in-mash	--log-net-log	always-on
255	--accept-resource-provider			--allow-hidden-media-playback	36kHz	--alternative				--ash-enable-magnifier-key-scroller		7	--auto				--disable-2d-canvas-clip-aa				--disable-local-storage				--disable-sync	--enable-accelerated-2d-canvas	--enable-cast-receiver	--fast-start	--force-enable-stylus-tools		--incognito		--log-net-log	cellular-only
110	--accept-resource-provider				41kHz	--alternative		--arc-availability=installed	--ash-animate-from-boot-splash-screen	--ash-enable-magnifier-key-scroller	--ash-enable-night-light	8	--auto		--ChromeOSMemoryPressureHandling			--disable-backing-store-limit	--disable-direct-composition-layers	--disable-hang-monitor	--disable-local-storage	--disable-per-user-timezone		--disable-suggestions-ui	--disable-sync		--enable-cast-receiver		--force-enable-stylus-tools				--log-net-log	always-on
134	--accept-resource-provider		--allow-cross-origin-auth-prompt		48kHz	--alternative	--app			--ash-enable-magnifier-key-scroller	--ash-enable-night-light	10	--auto			--cloud-print-setup-proxy	--disable-2d-canvas-clip-aa	--disable-backing-store-limit	--disable-direct-composition-layers	--disable-hang-monitor	--disable-local-storage		--disable-permission-action-reporting		--disable-sync		--enable-cast-receiver			--force-first-run	--incognito		--log-net-log	cellular-only
255				--allow-hidden-media-playback	46kHz	--alternative	--app	--arc-availability=installed	--ash-animate-from-boot-splash-screen			10		--bwsi		--cloud-print-setup-proxy	--disable-2d-canvas-clip-aa	--disable-backing-store-limit	--disable-direct-composition-layers		--disable-local-storage	--disable-per-user-timezone	--disable-permission-action-reporting			--enable-accelerated-2d-canvas	--enable-cast-receiver	--fast-start					--log-net-log	cellular-only
206		--account-consistency	--allow-cross-origin-auth-prompt		44kHz	--alternative		--arc-availability=installed		--ash-enable-magnifier-key-scroller		1	--auto	--bwsi	--ChromeOSMemoryPressureHandling		--disable-2d-canvas-clip-aa	--disable-backing-store-limit	--disable-direct-composition-layers	--disable-hang-monitor	--disable-local-storage	--disable-per-user-timezone				--enable-accelerated-2d-canvas	--enable-cast-receiver		--force-enable-stylus-tools	--force-first-run	--incognito		--log-net-log	always-on
182	--accept-resource-provider			--allow-hidden-media-playback	48kHz	--alternative		--arc-availability=installed	--ash-animate-from-boot-splash-screen			5		--bwsi	--ChromeOSMemoryPressureHandling					--disable-hang-monitor	--disable-local-storage			--disable-suggestions-ui	--disable-sync		--enable-cast-receiver	--fast-start						disabled
230	--accept-resource-provider			--allow-hidden-media-playback	48kHz		--app	--arc-availability=installed	--ash-animate-from-boot-splash-screen			4			--ChromeOSMemoryPressureHandling				--disable-direct-composition-layers		--disable-local-storage	--disable-per-user-timezone	--disable-permission-action-reporting				--enable-cast-receiver	--fast-start	--force-enable-stylus-tools	--force-first-run		--is-running-in-mash	--log-net-log	always-on
