c1	c2	c3	c4	c5	c6	c7	c8	c9	--default-storage-engine	--binlog-format	--daemonize	--delay-key-write	--event-scheduler	--myisam-recover-options	--autocommit	--key-buffer-size	--max-allowed-packet	--max-connections	--wait-timeout	--interactive-timeout	--concurrency	--iterations	--number-int-cols	--number-char-cols	--commit	c10	c11	--detach
--external-locking	--skip-character-set-client-handshake	--external-locking				--skip-networking	--super-large-pages	--symbolic-links	InnoDB	MIXED	ON	OFF	ON	FORCE	0	715827882	1073741824	66666	19200	9600	6	10	10	1	0	--compress	--enable-cleartext-plugin	3
--skip-external-locking	--skip-character-set-client-handshake	--external-locking				--skip-networking		--symbolic-links	MyISAM	STATEMENT	ON	ALL	DISABLED	BACKUP	0	715827882	357913941	100000	9600	19200	13	7	1	7	50	--compress	--enable-cleartext-plugin	0
--skip-external-locking	--skip-character-set-client-handshake		--big-tables		--memlock		--super-large-pages	--symbolic-links	BLACKHOLE	STATEMENT	OFF	OFF	DISABLED	BACKUP	1	8	357913941	66666	1	1	20	1	7	10	34	--compress		0
--external-locking	--character-set-client-handshake						--super-large-pages	--symbolic-links	MyISAM	MIXED	OFF	ON	OFF	OFF	1	357913941	1024	100000	1	28800	13	10	10	10	50	--compress		1
--external-locking	--skip-character-set-client-handshake		--big-tables		--memlock		--super-large-pages	--symbolic-links	InnoDB	ROW	OFF	ALL	DISABLED	OFF	0	715827882	1024	33333	9600	28800	6	4	10	7	17			0
--skip-external-locking	--character-set-client-handshake			--flush	--memlock	--skip-networking	--super-large-pages	--symbolic-links	MyISAM	MIXED	ON	ON	DISABLED	DEFAULT	0	357913941	1073741824	66666	1	28800	20	7	1	4	50		--enable-cleartext-plugin	1
--skip-external-locking	--character-set-client-handshake	--external-locking	--big-tables		--memlock		--super-large-pages	--symbolic-links	BLACKHOLE	MIXED	ON	OFF	OFF	FORCE	0	1073741823	1024	66666	9600	19200	13	7	4	7	34			5
--skip-external-locking	--skip-character-set-client-handshake		--big-tables			--skip-networking		--symbolic-links	BLACKHOLE	MIXED	OFF	ON	ON	FORCE	0	8	715827882	100000	9600	9600	20	4	7	10	0			5
--external-locking	--skip-character-set-client-handshake		--big-tables	--flush	--memlock	--skip-networking		--symbolic-links	BLACKHOLE	ROW	ON	ON	ON	FORCE	1	715827882	715827882	100000	28800	9600	13	1	4	1	50			0
--skip-external-locking	--skip-character-set-client-handshake							--symbolic-links	InnoDB	STATEMENT	ON	ALL	DISABLED	OFF	0	8	357913941	33333	1	19200	1	1	1	1	17	--compress		3
--skip-external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables		--memlock	--skip-networking	--super-large-pages	--symbolic-links	MyISAM	STATEMENT	ON	ON	OFF	QUICK	1	1073741823	715827882	33333	1	19200	6	7	7	4	17	--compress	--enable-cleartext-plugin	0
--external-locking	--character-set-client-handshake				--memlock	--skip-networking		--symbolic-links	MyISAM	ROW	ON	ALL	OFF	OFF	0	1073741823	357913941	100000	9600	1	1	10	4	10	17	--compress	--enable-cleartext-plugin	5
--external-locking	--skip-character-set-client-handshake		--big-tables	--flush			--super-large-pages	--symbolic-links	InnoDB	MIXED	ON	OFF	OFF	DEFAULT	1	715827882	1024	66666	1	9600	20	7	4	10	0		--enable-cleartext-plugin	1
--external-locking	--character-set-client-handshake				--memlock		--super-large-pages	--symbolic-links	MyISAM	MIXED	OFF	ON	ON	OFF	1	8	1073741824	33333	9600	1	13	7	7	4	50		--enable-cleartext-plugin	3
--external-locking	--character-set-client-handshake			--flush		--skip-networking	--super-large-pages	--symbolic-links	MyISAM	ROW	OFF	OFF	OFF	FORCE	0	8	715827882	66666	1	1	6	7	10	7	17	--compress	--enable-cleartext-plugin	3
--external-locking	--character-set-client-handshake	--external-locking		--flush	--memlock	--skip-networking		--symbolic-links	BLACKHOLE	ROW	OFF	ALL	ON	BACKUP	1	357913941	715827882	33333	1	19200	6	4	10	10	50		--enable-cleartext-plugin	3
--skip-external-locking	--character-set-client-handshake	--external-locking	--big-tables	--flush	--memlock			--symbolic-links	MyISAM	MIXED	ON	OFF	DISABLED	BACKUP	1	8	715827882	1	19200	9600	1	4	1	4	17			3
--skip-external-locking	--character-set-client-handshake				--memlock	--skip-networking	--super-large-pages	--symbolic-links	InnoDB	MIXED	OFF	OFF	OFF	DEFAULT	1	357913941	715827882	33333	28800	1	13	1	1	7	0	--compress	--enable-cleartext-plugin	5
--skip-external-locking	--skip-character-set-client-handshake	--external-locking				--skip-networking	--super-large-pages	--symbolic-links	BLACKHOLE	STATEMENT	ON	ALL	ON	BACKUP	1	1073741823	715827882	33333	19200	28800	20	1	4	4	34		--enable-cleartext-plugin	5
--external-locking	--skip-character-set-client-handshake				--memlock			--symbolic-links	InnoDB	MIXED	ON	OFF	DISABLED	QUICK	0	357913941	1073741824	100000	28800	1	1	4	7	10	50		--enable-cleartext-plugin	0
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables		--memlock			--symbolic-links	InnoDB	MIXED	ON	ALL	DISABLED	FORCE	0	357913941	715827882	1	19200	19200	1	10	4	7	34	--compress		0
--skip-external-locking	--character-set-client-handshake	--external-locking	--big-tables	--flush		--skip-networking	--super-large-pages	--symbolic-links	MyISAM	MIXED	OFF	ALL	OFF	QUICK	0	8	1073741824	100000	1	28800	1	1	10	4	50	--compress	--enable-cleartext-plugin	5
